title,price,price_numeric,beds,baths,area,area_sqft,price_per_sqft,property_type,featured,photo_count,description,description_length,city,listing_mode,scraped_date,url
1 BED FURNISHED FLAT FOR RENT,PKR 50 Thousand,50000,50,1,400 sqft,400.0,125,Flat,False,5,5Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/satellite_town_satellite_town_-_block_a_1_bed_furnished_flat_for_rent-54277285-10237-4.html
One Bedroom Furnished Penthouse Flat Available For Rent,PKR 55 Thousand,55000,55,1,"1,600 sqft",1600.0,34,Flat,False,8,8Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_phase_4_bahria_town_-_civic_centre_one_bedroom_furnished_penthouse_flat_available_for_rent-54226382-8974-4.html
Luxury One Bedroom Furnished Apartment Available For In The Grande Building,PKR 70 Thousand,70000,70,1,750 sqft,750.0,93,Flat,True,14,14Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_4_luxury_one_bedroom_furnished_apartment_available_for_in_the_grande_building-54467363-3041-4.html
1 Bedroom Furnish Apartment Available For Rent,PKR 65 Thousand,65000,65,1,650 sqft,650.0,100,Flat,False,13,13Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_2_1_bedroom_furnish_apartment_available_for_rent-54434071-3035-4.html
2 Bedroom None Furnished Apartments Available,PKR 40 Thousand,40000,40,2,"1,000 sqft",1000.0,40,Flat,False,14,14VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_2_bedroom_none_furnished_apartments_available-54514369-3047-4.html
Luxurious Furnished 1 Bed Flat,PKR 65 Thousand,65000,65,1,600 sqft,600.0,108,Flat,False,18,18VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,89,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_luxurious_furnished_1_bed_flat-54514202-3047-4.html
Daily And Monthly Apartment Available For Rent,PKR 1.2 Lakh,120000,2,2,"1,600 sqft",1600.0,75,Flat,False,7,7VerifiedShare on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,88,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_daily_and_monthly_apartment_available_for_rent-54513951-3047-4.html
2 Bedroom Luxury Flat Available for Bachelors at Prime Location of Satellite Town,PKR 60 Thousand,60000,60,2,900 sqft,900.0,66,Flat,False,4,4Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/rawalpindi_satellite_town_2_bedroom_luxury_flat_available_for_bachelors_at_prime_location_of_satellite_town-54477377-433-4.html
A Flat Of 700 Square Feet In Rs. 30000,PKR 50 Thousand,50000,1,1,700 sqft,700.0,71,Flat,False,5,5Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,80,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_a_flat_of_700_square_feet_in_rs_30000-53842115-3048-4.html
Flat For Rent 2 Bed Rooms Un Furnish Apartment,PKR 60 Thousand,60000,60,2,"1,060 sqft",1060.0,56,Flat,False,23,23Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_flat_for_rent_2_bed_rooms_un_furnish_apartment-53329172-3048-4.html
1 BEDROOM Non Furnish Apartment For Rent,PKR 45 Thousand,45000,45,1,760 sqft,760.0,59,Flat,False,11,11Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_1_bedroom_non_furnish_apartment_for_rent-53329248-3048-4.html
1Bed Furnished Apartment,PKR 75 Thousand,75000,75,1,760 sqft,760.0,98,Flat,False,11,11Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_1bed_furnished_apartment-54015426-3047-4.html
3BedRoom TV Lounge Open Kitchen Modern Design Appartment For Rent,PKR 75 Thousand,75000,75,3,"1,680 sqft",1680.0,44,Flat,False,18,18Share on FacebookShare on TwitterShare on WhatsAppSend via GMailSend via E-Mail,81,Flats_Rent_Rawalpindi,for_rent,2026-07-24,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_3bedroom_tv_lounge_open_kitchen_modern_design_appartment_for_rent-53033904-3048-4.html
